seriename,date,value
DNK,1.6.1984,0.01564
DNK,1.9.1984,0.02005
DNK,1.12.1984,0.02381
DNK,1.3.1985,0.02594
DNK,1.6.1985,0.02553
DNK,1.9.1985,0.02203
DNK,1.12.1985,0.01551
DNK,1.3.1986,0.00668
DNK,1.6.1986,-0.00317
DNK,1.9.1986,-0.0124
DNK,1.12.1986,-0.0196
DNK,1.3.1987,-0.02377
DNK,1.6.1987,-0.02423
DNK,1.9.1987,-0.02077
DNK,1.12.1987,-0.01375
DNK,1.3.1988,-0.00407
DNK,1.6.1988,0.00674
DNK,1.9.1988,0.01687
DNK,1.12.1988,0.0248
DNK,1.3.1989,0.0295
DNK,1.6.1989,0.0303
DNK,1.9.1989,0.02698
DNK,1.12.1989,0.01967
DNK,1.3.1990,0.00894
DNK,1.6.1990,-0.00405
DNK,1.9.1990,-0.01777
DNK,1.12.1990,-0.0308
DNK,1.3.1991,-0.04199
DNK,1.6.1991,-0.0504
DNK,1.9.1991,-0.05544
DNK,1.12.1991,-0.05671
DNK,1.3.1992,-0.05419
DNK,1.6.1992,-0.04847
DNK,1.9.1992,-0.0406
DNK,1.12.1992,-0.03168
DNK,1.3.1993,-0.02275
DNK,1.6.1993,-0.01466
DNK,1.9.1993,-0.00801
DNK,1.12.1993,-0.00317
DNK,1.3.1994,-0.00018
DNK,1.6.1994,0.00155
DNK,1.9.1994,0.00297
DNK,1.12.1994,0.00505
DNK,1.3.1995,0.00848
DNK,1.6.1995,0.01353
DNK,1.9.1995,0.02008
DNK,1.12.1995,0.02776
DNK,1.3.1996,0.03585
DNK,1.6.1996,0.04322
DNK,1.9.1996,0.0486
DNK,1.12.1996,0.05089
DNK,1.3.1997,0.0496
DNK,1.6.1997,0.04505
DNK,1.9.1997,0.03803
DNK,1.12.1997,0.0295
DNK,1.3.1998,0.02062
DNK,1.6.1998,0.01261
DNK,1.9.1998,0.00651
DNK,1.12.1998,0.00306
DNK,1.3.1999,0.00215
DNK,1.6.1999,0.00278
DNK,1.9.1999,0.00361
DNK,1.12.1999,0.00334
DNK,1.3.2000,0.00082
DNK,1.6.2000,-0.0047
DNK,1.9.2000,-0.01355
DNK,1.12.2000,-0.02566
DNK,1.3.2001,-0.04002
DNK,1.6.2001,-0.0548
DNK,1.9.2001,-0.06803
DNK,1.12.2001,-0.07786
DNK,1.3.2002,-0.0829
DNK,1.6.2002,-0.08236
DNK,1.9.2002,-0.07589
DNK,1.12.2002,-0.06357
DNK,1.3.2003,-0.04623
DNK,1.6.2003,-0.0253
DNK,1.9.2003,-0.00236
DNK,1.12.2003,0.021
DNK,1.3.2004,0.04342
DNK,1.6.2004,0.06398
DNK,1.9.2004,0.08184
DNK,1.12.2004,0.09622
DNK,1.3.2005,0.10661
DNK,1.6.2005,0.11243
DNK,1.9.2005,0.1131
DNK,1.12.2005,0.10836
DNK,1.3.2006,0.09807
DNK,1.6.2006,0.08221
DNK,1.9.2006,0.06121
DNK,1.12.2006,0.03589
DNK,1.3.2007,0.00756
DNK,1.6.2007,-0.02158
DNK,1.9.2007,-0.04892
DNK,1.12.2007,-0.07217
DNK,1.3.2008,-0.08955
DNK,1.6.2008,-0.09981
DNK,1.9.2008,-0.10245
DNK,1.12.2008,-0.09752
DNK,1.3.2009,-0.08588
DNK,1.6.2009,-0.06967
DNK,1.9.2009,-0.05168
DNK,1.12.2009,-0.03443
DNK,1.3.2010,-0.01979
DNK,1.6.2010,-0.00883
DNK,1.9.2010,-0.00196
DNK,1.12.2010,0.00078
DNK,1.3.2011,-0.0001
DNK,1.6.2011,-0.00316
DNK,1.9.2011,-0.00645
DNK,1.12.2011,-0.00823
DNK,1.3.2012,-0.00747
DNK,1.6.2012,-0.00394
DNK,1.9.2012,0.00211
DNK,1.12.2012,0.01018
DNK,1.3.2013,0.01962
DNK,1.6.2013,0.02939
DNK,1.9.2013,0.03813
DNK,1.12.2013,0.04457
DNK,1.3.2014,0.04796
DNK,1.6.2014,0.04811
DNK,1.9.2014,0.04528
DNK,1.12.2014,0.0399
DNK,1.3.2015,0.03242
DNK,1.6.2015,0.02349
DNK,1.9.2015,0.01401
DNK,1.12.2015,0.00489
DNK,1.3.2016,-0.00314
DNK,1.6.2016,-0.00958
DNK,1.9.2016,-0.01431
DNK,1.12.2016,-0.01737
DNK,1.3.2017,-0.01883
DNK,1.6.2017,-0.01897
DNK,1.9.2017,-0.01825
DNK,1.12.2017,-0.01714
DNK,1.3.2018,-0.01613
DNK,1.6.2018,-0.01558
ESP,1.6.1985,0.01627
ESP,1.9.1985,0.01992
ESP,1.12.1985,0.02644
ESP,1.3.1986,0.03453
ESP,1.6.1986,0.04288
ESP,1.9.1986,0.05022
ESP,1.12.1986,0.0554
ESP,1.3.1987,0.05737
ESP,1.6.1987,0.05555
ESP,1.9.1987,0.05006
ESP,1.12.1987,0.04159
ESP,1.3.1988,0.03122
ESP,1.6.1988,0.0199
ESP,1.9.1988,0.00843
ESP,1.12.1988,-0.00254
ESP,1.3.1989,-0.01245
ESP,1.6.1989,-0.02094
ESP,1.9.1989,-0.02804
ESP,1.12.1989,-0.03408
ESP,1.3.1990,-0.03944
ESP,1.6.1990,-0.04429
ESP,1.9.1990,-0.04854
ESP,1.12.1990,-0.05204
ESP,1.3.1991,-0.05456
ESP,1.6.1991,-0.05597
ESP,1.9.1991,-0.056
ESP,1.12.1991,-0.05437
ESP,1.3.1992,-0.05099
ESP,1.6.1992,-0.04614
ESP,1.9.1992,-0.0404
ESP,1.12.1992,-0.03447
ESP,1.3.1993,-0.02902
ESP,1.6.1993,-0.02455
ESP,1.9.1993,-0.0214
ESP,1.12.1993,-0.01982
ESP,1.3.1994,-0.01972
ESP,1.6.1994,-0.02058
ESP,1.9.1994,-0.02155
ESP,1.12.1994,-0.02168
ESP,1.3.1995,-0.02008
ESP,1.6.1995,-0.01624
ESP,1.9.1995,-0.00994
ESP,1.12.1995,-0.00116
ESP,1.3.1996,0.00974
ESP,1.6.1996,0.02203
ESP,1.9.1996,0.0347
ESP,1.12.1996,0.04658
ESP,1.3.1997,0.05662
ESP,1.6.1997,0.0642
ESP,1.9.1997,0.06889
ESP,1.12.1997,0.07047
ESP,1.3.1998,0.06898
ESP,1.6.1998,0.06459
ESP,1.9.1998,0.05768
ESP,1.12.1998,0.04885
ESP,1.3.1999,0.0385
ESP,1.6.1999,0.02683
ESP,1.9.1999,0.01409
ESP,1.12.1999,0.00056
ESP,1.3.2000,-0.01336
ESP,1.6.2000,-0.02713
ESP,1.9.2000,-0.04023
ESP,1.12.2000,-0.05217
ESP,1.3.2001,-0.06221
ESP,1.6.2001,-0.06951
ESP,1.9.2001,-0.07341
ESP,1.12.2001,-0.07351
ESP,1.3.2002,-0.06981
ESP,1.6.2002,-0.06267
ESP,1.9.2002,-0.05254
ESP,1.12.2002,-0.04001
ESP,1.3.2003,-0.02587
ESP,1.6.2003,-0.01099
ESP,1.9.2003,0.00387
ESP,1.12.2003,0.01811
ESP,1.3.2004,0.03151
ESP,1.6.2004,0.04407
ESP,1.9.2004,0.05576
ESP,1.12.2004,0.06647
ESP,1.3.2005,0.0759
ESP,1.6.2005,0.08347
ESP,1.9.2005,0.08848
ESP,1.12.2005,0.09025
ESP,1.3.2006,0.08812
ESP,1.6.2006,0.08152
ESP,1.9.2006,0.07021
ESP,1.12.2006,0.05437
