seriename,date,value
ESP,1.6.2014,0.06
ESP,1.9.2014,0.059
ESP,1.12.2014,0.053
ESP,1.3.2015,0.046
ESP,1.6.2015,0.036
ESP,1.9.2015,0.026
ESP,1.12.2015,0.016
ESP,1.3.2016,0.008
ESP,1.6.2016,0.001
ESP,1.9.2016,-0.003
ESP,1.12.2016,-0.005
FIN,1.12.1971,0.113
FIN,1.3.1972,0.112
FIN,1.6.1972,0.109
FIN,1.9.1972,0.104
FIN,1.12.1972,0.096
FIN,1.3.1973,0.085
FIN,1.6.1973,0.071
FIN,1.9.1973,0.053
FIN,1.12.1973,0.034
FIN,1.3.1974,0.012
FIN,1.6.1974,-0.009
FIN,1.9.1974,-0.03
FIN,1.12.1974,-0.049
FIN,1.3.1975,-0.066
FIN,1.6.1975,-0.079
FIN,1.9.1975,-0.089
FIN,1.12.1975,-0.095
FIN,1.3.1976,-0.098
FIN,1.6.1976,-0.098
FIN,1.9.1976,-0.095
FIN,1.12.1976,-0.089
FIN,1.3.1977,-0.08
FIN,1.6.1977,-0.07
FIN,1.9.1977,-0.058
FIN,1.12.1977,-0.045
FIN,1.3.1978,-0.032
FIN,1.6.1978,-0.02
FIN,1.9.1978,-0.01
FIN,1.12.1978,-0.003
FIN,1.3.1979,0.001
FIN,1.6.1979,0.001
FIN,1.9.1979,-0.002
FIN,1.12.1979,-0.006
FIN,1.3.1980,-0.012
FIN,1.6.1980,-0.017
FIN,1.9.1980,-0.019
FIN,1.12.1980,-0.018
FIN,1.3.1981,-0.013
FIN,1.6.1981,-0.004
FIN,1.9.1981,0.009
FIN,1.12.1981,0.024
FIN,1.3.1982,0.039
FIN,1.6.1982,0.053
FIN,1.9.1982,0.063
FIN,1.12.1982,0.067
FIN,1.3.1983,0.066
FIN,1.6.1983,0.058
FIN,1.9.1983,0.045
FIN,1.12.1983,0.028
FIN,1.3.1984,0.009
FIN,1.6.1984,-0.009
FIN,1.9.1984,-0.024
FIN,1.12.1984,-0.035
FIN,1.3.1985,-0.039
FIN,1.6.1985,-0.035
FIN,1.9.1985,-0.025
FIN,1.12.1985,-0.008
FIN,1.3.1986,0.013
FIN,1.6.1986,0.037
FIN,1.9.1986,0.061
FIN,1.12.1986,0.083
FIN,1.3.1987,0.102
FIN,1.6.1987,0.116
FIN,1.9.1987,0.123
FIN,1.12.1987,0.122
FIN,1.3.1988,0.115
FIN,1.6.1988,0.1
FIN,1.9.1988,0.079
FIN,1.12.1988,0.052
FIN,1.3.1989,0.02
FIN,1.6.1989,-0.014
FIN,1.9.1989,-0.048
FIN,1.12.1989,-0.082
FIN,1.3.1990,-0.112
FIN,1.6.1990,-0.137
FIN,1.9.1990,-0.156
FIN,1.12.1990,-0.166
FIN,1.3.1991,-0.167
FIN,1.6.1991,-0.159
FIN,1.9.1991,-0.143
FIN,1.12.1991,-0.119
FIN,1.3.1992,-0.09
FIN,1.6.1992,-0.059
FIN,1.9.1992,-0.027
FIN,1.12.1992,0.001
FIN,1.3.1993,0.024
FIN,1.6.1993,0.04
FIN,1.9.1993,0.047
FIN,1.12.1993,0.047
